id,name,college_code,percentage
10000,Jsandye,EJ,53.54
10001,Robbi,AF,49.16
10002,Raf,SU,5.04
10003,Nikki,FL,64.14
10004,Monika,PX,30.89
10005,Kerrin,WR,84.23
10006,Kary,GF,56.22
10007,Juliane,JP,96.04
10008,Violet,RO,2.23
10009,Kathy,LY,41.6
10010,Aeriela,NR,98.26
10011,Deane,MZ,66.84
10012,Evita,CE,93.65
10013,Cindelyn,RM,20.91
10014,Zia,VT,31.64
10015,Rozele,PN,24.57
10016,Carree,AU,55.19
10017,Doro,DX,5.04
10018,Alisha,CD,72.69
10019,Bill,AT,56.42
10020,Carlie,LV,85.53
10021,Lilith,JC,0.85
10022,Sadie,DJ,63.85
10023,Deirdre,BJ,24.31
10024,Kristan,JD,34.54
10025,Sharai,BF,9.97
10026,Britte,XG,65.8
10027,Madeleine,IL,34.85
10028,Daryl,UQ,29.87
10029,Ira,GK,64.57
10030,Phedra,CH,73.04
10031,Mignon,XP,93.27
10032,Kathi,FY,79.01
10033,Dorothy,WL,18.88
10034,Morganica,FK,32.25
10035,Drucie,TJ,23.28
10036,Kelly,XU,33.18
10037,Janey,UH,10.52
10038,Melina,OF,5.58
10039,Eugine,LM,0.71
10040,Natka,GG,1.43
10041,Veda,UD,1.19
10042,Iseabal,IN,3.02
10043,Jackie,IL,30.55
10044,Cam,NQ,82.75
10045,Dotty,FO,30.17
10046,Edyth,GE,86.72
10047,Xylina,HS,14.73
10048,Arlina,HB,56.51
10049,Harmonia,HK,82.24
10050,Averyl,CP,27.5
10051,Loree,OU,54.72
10052,Joceline,BV,14.69
10053,Zondra,FF,42.64
10054,Rosabelle,UQ,36.29
10055,Charissa,NZ,98.4
10056,Kimberley,ZM,5.96
10057,Wynne,DM,15.09
10058,Letizia,MA,24.9
10059,Bernardine,YT,91.56
10060,Lila,LO,60.45
10061,Kellen,OA,50.76
10062,Jillayne,AK,62.68
10063,Malina,RQ,83.25
10064,Joeann,SU,6.39
10065,Willetta,GB,12.54
10066,Kara-Lynn,WW,16.19
10067,Agnese,LT,55.08
10068,Theodora,SL,25.8
10069,Sara-Ann,GF,31.96
10070,Corly,YM,32.46
10071,Vonny,HS,7.1
10072,Layla,BY,96.66
10073,Glynnis,NG,39.11
10074,Carilyn,WN,30.74
10075,Winifred,LZ,17.6
10076,Norine,KE,13.51
10077,Linzy,AL,16.33
10078,Marylou,QZ,81.96
10079,Nataline,CM,100.21
10080,Ethel,RE,80.05
10081,Britte,JQ,88.64
10082,Giustina,EQ,47.79
10083,Jordan,MR,78.32
10084,Rubie,MU,25.63
10085,Cindelyn,KE,42.5
10086,Vita,PW,6.46
10087,Andree,GR,19.66
10088,Carlie,DX,23.29
10089,Etta,DX,98.26
10090,Orelia,CO,1.87
10091,Emylee,BH,94.72
10092,Hildegaard,VU,13.39
10093,Katharina,WY,45.66
10094,Briney,KO,92.36
10095,Binny,QW,87.38
10096,Lelah,FK,72.77
10097,Misha,JM,18.3
10098,Hollie,XX,63.97
10099,Nyssa,MB,9.3
10100,Bill,GW,94.71
10101,Robinia,VJ,93.88
10102,Gabi,WH,60.09
10103,Alia,NL,36
10104,Deane,OL,24.47
10105,Nickie,ZR,38.1
10106,Kittie,JK,82.62
10107,Tressa,YY,0.29
10108,Damaris,TF,13.3
10109,Felice,GI,93.6
10110,Joeann,YB,42.18
10111,Gratia,QO,18.67
10112,Melodie,GR,33.47
10113,Zsa Zsa,QT,60.32
10114,Bernie,WA,40.96
10115,Marnia,MW,95.63
10116,Nyssa,FE,47.23
10117,Britte,CU,38.69
10118,Jaime,BC,77.67
10119,Mureil,XN,11.76
10120,Hyacinthe,BD,32.37
10121,Justinn,ZV,47.98
10122,Deirdre,FZ,67.72
10123,Cindelyn,HT,13.82
10124,Bettine,HI,74.42
10125,Misha,PE,92.56
10126,Hannis,RI,59.21
10127,Delilah,WC,46.32
10128,Dorothy,UE,82.51
10129,Tierney,ST,70.92
10130,Laure,UK,18.22
10131,Linzy,PO,63.71
10132,Glynnis,TP,53.51
10133,Petronia,VQ,98.64
10134,Heida,WI,91.9
10135,Tiffie,JG,2.82
10136,Tiffie,OS,35.96
10137,Tami,LL,28.07
10138,Cassondra,IU,87.33
10139,Dorene,OQ,6.65
10140,Kara-Lynn,GA,25.82
10141,Cacilie,IY,24.87
10142,Beverley,FY,20.3
10143,Gretal,EN,16.43
10144,Dari,ZW,91.47
10145,Fidelia,TP,3.22
10146,Candi,ZS,90.17
10147,Clarice,PW,15.68
10148,Carolina,DD,44.99
10149,Bettine,SQ,54.01
10150,Linzy,XI,84.25
10151,Clary,XU,32.53
10152,Arabel,YL,1.3
10153,Merle,HR,26.78
10154,Kaja,KO,10.5
10155,Oralee,HY,100.64
